ID,Prob1
0, 0.35
1, 0.41
2, 0.36
3, 0.31
4, 0.33
5, 0.35
6, 0.34
7, 0.34
8, 0.36
9, 0.39
10, 0.34
11, 0.33
12, 0.39
13, 0.47
14, 0.32
15, 0.36
16, 0.34
17, 0.44
18, 0.40
19, 0.35
20, 0.31
21, 0.42
22, 0.34
23, 0.38
24, 0.34
25, 0.37
26, 0.40
27, 0.33
28, 0.34
29, 0.34
30, 0.33
31, 0.37
32, 0.35
33, 0.39
34, 0.41
35, 0.36
36, 0.34
37, 0.38
38, 0.50
39, 0.35
40, 0.34
41, 0.38
42, 0.38
43, 0.48
44, 0.39
45, 0.33
46, 0.44
47, 0.40
48, 0.37
49, 0.41
50, 0.37
51, 0.41
52, 0.44
53, 0.36
54, 0.35
55, 0.34
56, 0.35
57, 0.36
58, 0.49
59, 0.36
60, 0.33
61, 0.33
62, 0.32
63, 0.41
64, 0.39
65, 0.37
66, 0.32
67, 0.41
68, 0.33
69, 0.44
70, 0.37
71, 0.40
72, 0.37
73, 0.39
74, 0.50
75, 0.37
76, 0.38
77, 0.39
78, 0.41
79, 0.37
80, 0.45
81, 0.35
82, 0.41
83, 0.40
84, 0.37
85, 0.36
86, 0.42
87, 0.44
88, 0.37
89, 0.36
90, 0.36
91, 0.34
92, 0.38
93, 0.48
94, 0.36
95, 0.36
96, 0.61
97, 0.35
98, 0.38
99, 0.44
100, 0.46
101, 0.33
102, 0.36
103, 0.42
104, 0.41
105, 0.43
106, 0.35
107, 0.45
108, 0.42
109, 0.37
110, 0.32
111, 0.40
112, 0.48
113, 0.36
114, 0.42
115, 0.37
116, 0.36
117, 0.45
118, 0.43
119, 0.41
120, 0.44
121, 0.39
122, 0.32
123, 0.36
124, 0.36
125, 0.43
126, 0.43
127, 0.40
128, 0.41
129, 0.40
130, 0.38
131, 0.34
132, 0.35
133, 0.42
134, 0.41
135, 0.34
136, 0.40
137, 0.44
138, 0.40
139, 0.42
140, 0.37
141, 0.34
142, 0.37
143, 0.33
144, 0.42
145, 0.39
146, 0.35
147, 0.40
148, 0.33
149, 0.34
150, 0.36
151, 0.46
152, 0.37
153, 0.38
154, 0.39
155, 0.38
156, 0.37
157, 0.37
158, 0.35
159, 0.42
160, 0.50
161, 0.34
162, 0.33
163, 0.36
164, 0.42
165, 0.32
166, 0.38
167, 0.35
168, 0.40
169, 0.39
170, 0.44
171, 0.40
172, 0.39
173, 0.39
174, 0.31
175, 0.31
176, 0.50
177, 0.36
178, 0.37
179, 0.36
180, 0.45
181, 0.32
182, 0.36
183, 0.35
184, 0.38
185, 0.43
186, 0.36
187, 0.40
188, 0.34
189, 0.36
190, 0.37
191, 0.46
192, 0.32
193, 0.39
194, 0.37
195, 0.40
196, 0.33
197, 0.42
198, 0.48
199, 0.46
200, 0.40
201, 0.39
202, 0.34
203, 0.45
204, 0.35
205, 0.32
206, 0.32
207, 0.32
208, 0.38
209, 0.35
210, 0.36
211, 0.33
212, 0.55
213, 0.43
214, 0.39
215, 0.35
216, 0.45
217, 0.44
218, 0.49
219, 0.63
220, 0.40
221, 0.36
222, 0.55
223, 0.48
224, 0.40
225, 0.38
226, 0.49
227, 0.44
228, 0.39
229, 0.40
230, 0.34
231, 0.51
232, 0.35
233, 0.32
234, 0.34
235, 0.37
236, 0.33
237, 0.36
238, 0.38
239, 0.39
240, 0.55
241, 0.32
242, 0.41
243, 0.34
244, 0.34
245, 0.43
246, 0.41
247, 0.37
248, 0.39
249, 0.32
250, 0.38
251, 0.45
252, 0.36
253, 0.39
254, 0.37
255, 0.51
256, 0.43
257, 0.45
258, 0.39
259, 0.49
260, 0.33
261, 0.37
262, 0.38
263, 0.38
264, 0.42
265, 0.40
266, 0.33
267, 0.38
268, 0.39
269, 0.50
270, 0.33
271, 0.37
272, 0.39
273, 0.40
274, 0.47
275, 0.39
276, 0.33
277, 0.37
278, 0.39
279, 0.38
280, 0.36
281, 0.38
282, 0.42
283, 0.36
284, 0.41
285, 0.41
286, 0.35
287, 0.32
288, 0.31
289, 0.38
290, 0.34
291, 0.36
292, 0.33
293, 0.34
294, 0.40
295, 0.34
296, 0.39
297, 0.44
298, 0.67
299, 0.35
300, 0.36
301, 0.35
302, 0.46
303, 0.34
304, 0.33
305, 0.36
306, 0.36
307, 0.35
308, 0.35
309, 0.32
310, 0.37
311, 0.38
312, 0.34
313, 0.38
314, 0.45
315, 0.41
316, 0.34
317, 0.36
318, 0.36
319, 0.33
320, 0.38
321, 0.33
322, 0.37
323, 0.35
324, 0.42
325, 0.38
326, 0.36
327, 0.41
328, 0.44
329, 0.51
330, 0.35
331, 0.35
332, 0.40
333, 0.38
334, 0.37
335, 0.35
336, 0.39
337, 0.40
338, 0.41
339, 0.33
340, 0.42
341, 0.44
342, 0.40
343, 0.31
344, 0.41
345, 0.35
346, 0.36
347, 0.33
348, 0.37
349, 0.35
350, 0.37
351, 0.40
352, 0.40
353, 0.32
354, 0.39
355, 0.33
356, 0.53
357, 0.43
358, 0.33
359, 0.40
360, 0.40
361, 0.44
362, 0.33
363, 0.41
364, 0.41
365, 0.55
366, 0.50
367, 0.37
368, 0.37
369, 0.43
370, 0.31
371, 0.36
372, 0.37
373, 0.37
374, 0.37
375, 0.41
376, 0.40
377, 0.38
378, 0.33
379, 0.40
380, 0.51
381, 0.33
382, 0.34
383, 0.35
384, 0.43
385, 0.32
386, 0.35
387, 0.38
388, 0.31
389, 0.44
390, 0.33
391, 0.33
392, 0.38
393, 0.53
394, 0.40
395, 0.36
396, 0.36
397, 0.44
398, 0.40
399, 0.33
400, 0.33
401, 0.39
402, 0.46
403, 0.39
404, 0.41
405, 0.36
406, 0.39
407, 0.34
408, 0.39
409, 0.44
410, 0.37
411, 0.38
412, 0.33
413, 0.40
414, 0.34
415, 0.38
416, 0.35
417, 0.37
418, 0.34
419, 0.36
420, 0.49
421, 0.45
422, 0.38
423, 0.41
424, 0.33
425, 0.33
426, 0.41
427, 0.33
428, 0.40
429, 0.45
430, 0.38
431, 0.60
432, 0.37
433, 0.38
434, 0.40
435, 0.37
436, 0.42
437, 0.40
438, 0.43
439, 0.32
440, 0.40
441, 0.39
442, 0.37
443, 0.37
444, 0.40
445, 0.36
446, 0.41
447, 0.31
448, 0.37
449, 0.35
450, 0.51
451, 0.34
452, 0.38
453, 0.45
454, 0.39
455, 0.44
456, 0.46
457, 0.38
458, 0.36
459, 0.35
460, 0.34
461, 0.42
462, 0.36
463, 0.54
464, 0.34
465, 0.36
466, 0.36
467, 0.42
468, 0.38
469, 0.39
470, 0.41
471, 0.34
472, 0.33
473, 0.41
474, 0.38
475, 0.43
476, 0.34
477, 0.35
478, 0.42
479, 0.38
480, 0.34
481, 0.33
482, 0.38
483, 0.36
484, 0.49
485, 0.46
486, 0.37
487, 0.48
488, 0.34
489, 0.35
490, 0.36
491, 0.50
492, 0.37
493, 0.35
494, 0.34
495, 0.40
496, 0.39
497, 0.39
498, 0.70
499, 0.36
500, 0.34
501, 0.35
502, 0.48
503, 0.36
504, 0.33
505, 0.41
506, 0.38
507, 0.41
508, 0.45
509, 0.36
510, 0.35
511, 0.35
512, 0.36
513, 0.37
514, 0.33
515, 0.40
516, 0.32
517, 0.41
518, 0.42
519, 0.36
520, 0.37
521, 0.57
522, 0.43
523, 0.38
524, 0.38
525, 0.43
526, 0.45
527, 0.38
528, 0.33
529, 0.33
530, 0.33
531, 0.34
532, 0.38
533, 0.37
534, 0.46
535, 0.35
536, 0.46
537, 0.33
538, 0.38
539, 0.35
540, 0.38
541, 0.48
542, 0.37
543, 0.45
544, 0.33
545, 0.47
546, 0.39
547, 0.36
548, 0.35
549, 0.39
550, 0.44
551, 0.39
552, 0.40
553, 0.38
554, 0.36
555, 0.33
556, 0.41
557, 0.44
558, 0.39
559, 0.45
560, 0.35
561, 0.34
562, 0.36
563, 0.34
564, 0.46
565, 0.35
566, 0.33
567, 0.35
568, 0.44
569, 0.45
570, 0.32
571, 0.43
572, 0.32
573, 0.37
574, 0.57
575, 0.37
576, 0.41
577, 0.40
578, 0.36
579, 0.33
